date,rain,temp
22/03/2005 07:00,0,11.5
22/03/2005 08:00,0,11.6
22/03/2005 09:00,0,12.5
22/03/2005 10:00,0,13.1
22/03/2005 11:00,0,11.5
22/03/2005 12:00,0,13
22/03/2005 13:00,0,13.9
22/03/2005 14:00,0,13.2
22/03/2005 15:00,0,13.7
22/03/2005 16:00,0,13.8
22/03/2005 17:00,0,12
22/03/2005 18:00,0,11.9
22/03/2005 19:00,0,11.3
22/03/2005 20:00,0,10.4
22/03/2005 21:00,0,10.2
22/03/2005 22:00,0,9.9
23/03/2005 07:00,0,9.4
23/03/2005 08:00,0,9.6
23/03/2005 09:00,0,11.4
23/03/2005 10:00,0,13.8
23/03/2005 11:00,0,12.7
23/03/2005 12:00,0,11.9
23/03/2005 13:00,0,14.2
23/03/2005 14:00,0,13.8
23/03/2005 15:00,0,13.5
23/03/2005 16:00,0,13.9
23/03/2005 17:00,0,13
23/03/2005 18:00,0,12.8
23/03/2005 19:00,0,12.6
23/03/2005 20:00,0,11.3
23/03/2005 21:00,1.3,10.1
23/03/2005 22:00,0,10.5
24/03/2005 07:00,0,10.5
24/03/2005 08:00,0,10.8
24/03/2005 09:00,0,11.5
24/03/2005 10:00,0,11.9
24/03/2005 11:00,0,12
24/03/2005 12:00,0,14.1
24/03/2005 13:00,0.2,12.1
24/03/2005 14:00,0,13.3
24/03/2005 15:00,0,13.3
24/03/2005 16:00,0,12.5
24/03/2005 17:00,0,12.4
24/03/2005 18:00,0,11.2
24/03/2005 19:00,0,10.6
24/03/2005 20:00,0,10.9
24/03/2005 21:00,0,11.1
24/03/2005 22:00,0,10.9
